GKZ,Gemeindename,Deutschlandatlas_GEM1223__st_einnkr,Deutschlandatlas_GEM1223__v_breitb50,Deutschlandatlas_GEM1223__v_breitb1000,Deutschlandatlas_GEM1222__bev_dicht,Deutschlandatlas_GEM1222__bev_entw,Deutschlandatlas_GEM1222__beschq_insg,Deutschlandatlas_GEM1222__beschq_w,Deutschlandatlas_GEM1222__beschq_m,Deutschlandatlas_GEM1222__v_gsm,Deutschlandatlas_GEM1222__v_lte,Deutschlandatlas_GEM1222__v_5g,Deutschlandatlas_GEM1222__p_markt,Deutschlandatlas_GEM1222__p_hbad,Deutschlandatlas_GEM1222__p_freibad,Deutschlandatlas_GEM1222__p_notfall,Deutschlandatlas_GEM1222__p_grunds,Deutschlandatlas_GEM1222__p_sek_1,Deutschlandatlas_GEM1222__p_sek_2,Deutschlandatlas_GEM1221__p_nelade,Deutschlandatlas_GEM1221__p_selade,Deutschlandatlas_GEM1221__p_harzt,Deutschlandatlas_GEM1220__p_apo,Deutschlandatlas_GEM1218__luftrtng,Deutschlandatlas_GEM1218__p_poli
01001000,"Flensburg, Stadt",1520.0,99.68,98.69,1631.41,0.91,59.6,57.72,61.41,99.7,99.7,99.5,2.36,6.54,10.525,6.83330909,3.18,4.73,4.42,2.84,5.46,2.2,2.69,9.59,3.2
01002000,"Kiel, Landeshauptstadt",1619.0,99.13,94.95,2087.8,-0.02,59.72,56.04,63.49,99.3,99.3,99.3,2.52,6.54,6.955,8.67112322,3.11,4.49,4.63,3.21,4.91,2.1,2.52,7.81,3.09
01003000,"Lübeck, Hansestadt",1341.0,98.19,90.73,1018.23,0.16,63.25,59.73,66.86,100.0,100.0,99.3,3.2,8.67,8.275,9.16691489,3.69,5.12,6.76,3.92,6.58,2.5,3.34,5.55,4.22
01004000,"Neumünster, Stadt",1566.0,98.95,97.79,1109.43,0.04,65.52,61.22,69.65,100.0,100.0,100.0,2.58,6.46,7.965,7.27233333,3.02,4.85,4.47,4.54,5.32,2.8,2.81,8.01,3.08
01051001,Albersdorf,1237.0,98.23,87.91,220.44,0.31,62.81,59.35,66.33,100.0,100.0,100.0,2.31,2.98,7.76,19.271125,2.75,3.3,17.43,2.43,14.11,2.0,2.51,7.66,3.84
01051002,Arkebek,655.0,94.51,85.71,33.38,3.33,63.82,66.67,61.04,100.0,100.0,86.1,5.08,5.85,8.71,18.5146429,5.72,6.7,14.31,5.32,13.26,4.6,4.95,7.64,5.42
01051003,Averlak,811.0,78.54,78.54,62.91,0.14,73.47,62.09,84.1,100.0,100.0,99.9,5.24,11.45,11.145,31.2051724,6.45,11.91,11.92,6.3,12.22,6.0,9.86,12.44,9.23
01051004,Bargenstedt,1124.0,90.86,82.22,79.75,0.21,66.29,62.5,70.08,100.0,100.0,93.4,8.43,11.22,10.505,21.9956897,2.87,10.39,10.54,10.09,14.78,8.8,8.72,9.87,10.04
01051005,Barkenholm,861.0,87.65,87.65,34.64,2.12,59.62,64.44,55.93,100.0,100.0,95.7,8.06,11.08,9.6,13.2857895,9.17,11.07,11.31,7.82,10.3,7.7,8.16,8.04,8.54
01051006,Barlt,3453.0,100.0,100.0,33.52,0.1,66.59,56.48,75.85,100.0,100.0,100.0,8.38,10.82,10.24,25.9672973,7.03,9.22,9.27,8.96,6.47,8.9,8.94,12.69,9.79
01051008,Bergewöhrden,687.0,89.47,89.47,13.26,1.21,52.17,50.0,55.56,100.0,100.0,100.0,9.91,23.96,11.94,26.17,10.72,20.46,24.19,10.0,13.74,9.9,9.98,7.32,9.02
01051010,Brickeln,1017.0,91.76,91.76,32.62,-2.0,65.71,63.79,67.07,100.0,100.0,100.0,4.58,21.71,5.125,32.3263158,4.66,5.32,21.74,5.76,19.71,4.6,5.05,10.57,4.75
01051011,"Brunsbüttel, Stadt",2772.0,98.69,97.56,193.27,-0.16,67.31,58.28,75.75,99.7,99.7,99.6,4.9,6.9,6.59,28.9327481,5.64,6.3,6.34,4.73,6.36,3.9,5.67,13.78,6.98
01051012,Buchholz,852.0,92.19,89.51,68.75,-0.18,67.65,61.38,73.29,100.0,100.0,99.9,7.36,23.12,7.17,38.5411765,7.55,8.97,21.47,7.3,21.45,5.8,7.0,11.31,6.66
01051013,Büsum,1926.0,98.38,95.06,586.08,0.42,63.62,62.09,65.24,99.2,99.2,99.2,2.04,3.72,15.59,18.9729167,2.71,2.71,2.71,1.71,2.8,2.7,2.72,13.77,2.54
01051014,Büsumer Deichhausen,1053.0,99.45,93.92,127.53,0.28,62.15,63.27,60.76,100.0,100.0,100.0,2.87,5.03,15.1,18.0133333,4.12,4.12,4.12,2.95,2.54,4.1,4.15,13.2,4.01
01051015,Bunsoh,860.0,95.98,86.69,63.57,-0.9,65.97,61.75,70.28,100.0,100.0,100.0,4.46,4.24,3.47,23.0152632,5.51,6.15,19.69,4.46,17.85,2.0,4.6,6.68,5.49
01051016,Burg (Dithmarschen),856.0,98.99,96.38,373.87,0.31,64.68,58.59,71.01,100.0,100.0,100.0,3.06,23.59,3.89,33.3894118,3.13,4.23,23.65,3.03,22.93,2.0,2.81,10.55,4.26
