GKZ,Kreisname,Deutschlandatlas_KRS1222__fl_suv,Deutschlandatlas_KRS1222__fl_landw,Deutschlandatlas_KRS1222__fl_wald,Deutschlandatlas_KRS1222__bev_binw,Deutschlandatlas_KRS1222__bev_ausw,Deutschlandatlas_KRS1222__ko_kasskred,Deutschlandatlas_KRS1222__bev_u18,Deutschlandatlas_KRS1222__bev_18_65,Deutschlandatlas_KRS1222__bev_ue65,Deutschlandatlas_KRS1222__bev_ausl,Deutschlandatlas_KRS1222__mitgl_sportv,Deutschlandatlas_KRS1222__ew_sportv,Deutschlandatlas_KRS1222__wahl_beteil,Deutschlandatlas_KRS1222__preis_miet,Deutschlandatlas_KRS1222__wohn_eigen,Deutschlandatlas_KRS1222__wohn_leer,Deutschlandatlas_KRS1222__wohn_EZFH,Deutschlandatlas_KRS1222__wohn_MFH,Deutschlandatlas_KRS1222__heiz_wohn_best,Deutschlandatlas_KRS1222__heiz_wohn,Deutschlandatlas_KRS1222__bquali_unifh,Deutschlandatlas_KRS1222__bquali_mabschl,Deutschlandatlas_KRS1222__bquali_oabschl,Deutschlandatlas_KRS1222__erw_wachs,Deutschlandatlas_KRS1222__erw_vol,Deutschlandatlas_KRS1222__erw_mini,Deutschlandatlas_KRS1222__erw_minineben,Deutschlandatlas_KRS1222__teilz_insg,Deutschlandatlas_KRS1222__teilz_w,Deutschlandatlas_KRS1222__teilz_m,Deutschlandatlas_KRS1222__erw_bip,Deutschlandatlas_KRS1222__alq,Deutschlandatlas_KRS1222__hh_veink,Deutschlandatlas_KRS1222__elterng_v,Deutschlandatlas_KRS1222__schulden,Deutschlandatlas_KRS1222__grusi_insg,Deutschlandatlas_KRS1222__grusi_w,Deutschlandatlas_KRS1222__grusi_m,Deutschlandatlas_KRS1222__sozsich,Deutschlandatlas_KRS1222__auto,Deutschlandatlas_KRS1222__elade,Deutschlandatlas_KRS1222__eauto,Deutschlandatlas_KRS1222__v_harzt,Deutschlandatlas_KRS1222__v_karzt,Deutschlandatlas_KRS1222__schule_oabschl,Deutschlandatlas_KRS1222__kbetr_u3,Deutschlandatlas_KRS1222__kbetr_ue3,Deutschlandatlas_KRS1222__kbetr_ue6,Deutschlandatlas_KRS1222__kbtr_pers,Deutschlandatlas_KRS1222__kinder_bg,Deutschlandatlas_KRS1222__straft,Deutschlandatlas_KRS1222__einbr,Deutschlandatlas_KRS1221__preis_baul,Deutschlandatlas_KRS1221__pfl_ambu,Deutschlandatlas_KRS1221__pfl_stat,Deutschlandatlas_KRS1221__pfl_geld
01001000,"Flensburg, Stadt",53.5,22.12,6.73,49.81,167.15,0,16.02,64.02,19.95,18.46,21.75,63.75,79.4,"8,50 bis unter 10,00",24.47162653866997,2.95,4.1,21.6,0.6179869681297959,4.17,17.0,60.86,14.53,0.96,-2.5,10.06,5.72,37.0,56.0,18.2,70.67,7.88,20.17,29.9,13.34,7.1,7.0,7.2,14.42,495.3,202.22,3.76,65.1,66.39999999999999,8.09,38.41,86.78,26.74,5.86,21.55,10767.152890329551,117.77417612101567,100 bis unter 200,27.6,19.1,40.0
01002000,"Kiel, Landeshauptstadt",58.78,23.45,6.94,-12.8,115.33,0,15.03,65.99,18.98,13.57,24.99,64.99,82.5,"8,50 bis unter 10,00",24.250575908449136,2.13,1.4000000000000001,18.6,1.3787281935846933,11.34,23.59,56.54,12.55,1.07,4.8,9.51,5.34,35.8,52.6,19.6,73.85,7.56,22.2,42.3,9.11,7.1,6.9,7.4,14.71,449.8,177.56,3.25,67.2,78.4,9.34,36.44,91.37,22.46,6.19,24.44,10684.77335023434,117.06907479099134,200 bis unter 300,29.5,16.4,40.4
01003000,"Lübeck, Hansestadt",37.86,30.23,15.44,30.67,116.23,293,15.22,61.36,23.42,12.52,17.76,62.36,79.5,"10,00 bis unter 11,50",28.982433571782458,2.88,6.1,32.1,1.8309940507133367,7.92,16.03,61.77,13.79,0.78,8.4,8.56,6.24,34.3,52.0,17.7,91.66,7.88,23.38,42.9,11.14,6.8,6.6,7.0,13.53,467.0,138.67,2.96,67.5,83.80000000000001,11.34,39.6,93.48,14.27,5.91,20.98,10322.10733854513,131.13551434008116,500 und mehr,18.3,24.9,43.1
01004000,"Neumünster, Stadt",51.81,37.72,4.65,-286.79,359.36,0,16.45,60.5,23.05,14.15,18.15,52.83,76.2,"7,00 bis unter 8,50",36.995588345255605,3.71,5.8999999999999995,22.799999999999997,1.5831825540424722,4.82,10.53,65.14,15.23,1.67,12.7,8.77,5.77,29.2,51.8,12.1,73.38,8.34,22.55,30.5,16.02,5.1,5.2,5.0,17.91,543.5,304.55,3.42,58.2,65.1,9.51,31.59,83.0,20.39,5.43,20.73,18117.78320042263,225.15156851399965,100 bis unter 200,20.5,23.8,42.4
01051000,Dithmarschen,11.28,75.22,3.83,66.47,105.51,0,15.74,58.73,25.53,7.76,30.38,111.64,82.1,"7,00 bis unter 8,50",57.855062791967484,3.49,27.200000000000003,17.4,5.852995813347381,50.41,8.92,69.02,12.63,1.02,7.8,12.13,7.72,33.4,56.2,13.0,95.94,5.83,27.07,29.9,9.77,2.7,2.7,2.6,8.62,621.3,247.91,2.79,63.0,45.7,12.14,25.69,87.67,12.46,6.59,14.75,5401.029189956525,116.07961434951055,50 bis unter 100,23.7,18.3,43.4
01053000,Herzogtum Lauenburg,12.01,56.44,26.23,74.81,120.02,22,17.72,59.53,22.74,10.27,23.92,83.45,84.1,"8,50 bis unter 10,00",50.911483202818275,2.65,24.5,17.8,5.535362560155948,36.31,11.84,65.43,12.81,1.02,3.6,10.93,8.33,36.4,58.0,14.4,73.77,5.19,26.99,40.8,7.68,3.1,3.0,3.1,8.13,598.4,103.19,3.35,62.699999999999996,44.900000000000006,10.52,35.45,86.57,14.96,6.2,12.06,4894.1643103989945,122.23138548539114,200 bis unter 300,23.1,19.7,46.2
01054000,Nordfriesland,11.04,75.72,4.24,35.67,118.9,28,15.6,59.51,24.88,9.05,32.89,115.95,83.2,"7,00 bis unter 8,50",52.92992218761301,3.65,36.7,28.1,8.131354901483824,61.86,9.42,67.71,12.01,0.79,5.8,10.32,8.86,33.5,54.3,13.4,75.87,4.79,30.43,35.0,8.25,1.9,1.9,1.9,6.6,633.8,344.61,4.4,66.5,46.1,9.21,33.07,92.68,19.99,7.16,10.14,5566.6309755506,85.77699165301136,100 bis unter 200,26.0,18.8,43.5
01055000,Ostholstein,12.41,71.24,10.17,56.83,121.26,12,14.46,57.4,28.13,7.65,28.68,98.23,82.9,"10,00 bis unter 11,50",50.87079165503364,3.45,12.6,20.5,5.091760649845914,37.74,9.9,67.61,12.17,1.06,7.2,11.32,7.95,37.2,55.3,17.3,67.36,4.87,27.72,38.7,7.86,2.6,2.5,2.7,6.65,645.0,257.03,2.92,67.5,45.4,10.48,36.25,92.18,15.62,6.62,10.24,5890.789073013565,94.7909197174936,300 bis unter 500,18.1,24.5,44.7
01056000,Pinneberg,22.03,60.83,8.84,43.27,119.33,175,17.44,60.25,22.31,13.09,25.32,61.78,84.6,"10,00 bis unter 11,50",48.88289274727566,2.34,14.6,24.2,4.016461008928965,21.58,13.8,61.94,13.45,0.55,-0.9,10.43,8.47,33.6,55.3,13.8,80.06,5.22,28.05,41.0,7.41,3.3,3.3,3.2,8.12,559.5,125.09,3.36,61.3,47.0,7.62,32.85,82.09,17.38,6.55,13.3,6235.6812467016425,108.03091919411418,200 bis unter 300,21.8,19.7,45.2
01057000,Plön,9.99,67.56,11.4,106.43,86.01,79,16.17,56.94,26.88,6.01,31.61,108.94,86.2,"8,50 bis unter 10,00",57.440414342119986,2.88,17.8,16.8,6.720838946102928,49.78,11.87,66.09,13.84,0.87,6.3,14.41,9.18,40.9,63.1,19.1,67.75,4.24,27.19,43.1,6.72,2.1,2.0,2.2,7.02,630.4,126.31,3.49,69.1,51.4,8.31,37.3,86.92,15.32,6.82,10.56,3991.1325095607394,105.8918531836119,200 bis unter 300,18.0,19.7,48.1
