GKZ,Gemeindeverbandsname,Deutschlandatlas_VBGEM1223__pendel,Deutschlandatlas_VBGEM1222__preis_miet_best,Deutschlandatlas_VBGEM1222__reg_energie,Deutschlandatlas_VBGEM1219__oenv,Deutschlandatlas_VBGEM1219__p_ozmz_miv,Deutschlandatlas_VBGEM1219__p_ozmz_oev
01001000,"Flensburg, Stadt",11.01,6.96,1.00996892490546,99.5,5.76,12.17
01002000,"Kiel, Landeshauptstadt",15.7,7.64,0.106324713281688,99.7,8.54,19.42
01003000,"Lübeck, Hansestadt",15.16,7.47,0.248427813567482,98.4,8.46,17.56
01004000,"Neumünster, Stadt",17.57,6.22,0.315932655782244,99.5,4.95,12.7
01051011,"Brunsbüttel, Stadt",20.37,5.74,19.4834235499484,70.0,5.0,11.01
01051044,"Heide, Stadt",21.53,6.68,0.406250565252781,98.9,3.53,10.94
01051963,Burg-St. Michaelisdonn,26.72,5.5,11.7133420201636,82.0,17.16,31.93
01051966,Marne-Nordsee,26.83,5.92,44.4863419949079,70.9,17.34,44.73
01051969,Eider,27.09,5.24,20.8861693402741,81.6,16.98,35.23
01051972,Heider Umland,22.69,6.03,26.9146620828865,71.7,7.02,18.89
01051975,Mitteldithmarschen,26.95,5.67,14.0153634586786,81.7,17.54,39.29
01051978,Büsum-Wesselburen,23.18,7.09,34.8219464231585,79.0,17.84,43.08
01053032,"Geesthacht, Stadt",24.32,7.93,0.287097662048491,99.8,4.07,9.2
01053083,"Lauenburg/ Elbe, Stadt",28.78,6.82,0.438447912273302,100.0,18.04,30.6
01053090,"Mölln, Stadt",21.98,6.87,0.370071395551903,99.2,4.94,12.81
01053100,"Ratzeburg, Stadt",24.55,6.87,0.367540300968872,99.7,14.01,22.74
01053105,"Sachsenwald (Forstgutsbez.),gemfr.Geb.",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
01053116,"Schwarzenbek, Stadt",28.11,7.59,0.28857556158688,91.1,16.63,29.89
01053129,Wentorf bei Hamburg,21.07,8.9,0.223663342935224,98.4,2.72,6.27
01053908,Berkenthin,22.84,6.61,2.46530455663582,91.7,17.71,31.09
01053913,Breitenfelde,29.2,6.35,4.55024940793369,74.9,8.09,26.5
01053918,Büchen,31.08,7.07,0.73321326952075,81.7,20.36,41.14
01053923,Hohe Elbgeest,24.67,8.27,0.897447510900292,90.4,7.27,17.8
