date,ebene1,ebene2,ebene3,bestand,fluss
2000-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.1,
2000-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.1,
2000-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.3,
2000-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.2,
2001-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.1,
2001-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.2,
2001-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.1,
2001-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.2,
2002-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.7,
2002-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.8,
2002-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.5,
2002-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.0,
2003-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.4,
2003-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.5,
2003-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.5,
2003-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.9,
2004-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.4,
2004-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.5,
2004-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.5,
2004-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.2,
2005-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.7,
2005-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.7,
2005-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.8,
2005-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.2,
2006-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.6,
2006-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.7,
2006-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.9,
2006-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.6,
2007-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.7,
2007-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.9,
2007-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.9,
2007-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.1,
2008-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.9,
2008-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.8,
2008-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.8,
2008-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.1,
2009-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.8,
2009-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.2,
2009-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.8,
2009-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.9,
2010-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.0,
2010-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,4.9,
2010-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.1,
2010-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.7,
2011-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.0,
2011-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.3,
2011-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.4,
2011-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.7,
2012-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.3,
2012-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.4,
2012-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.5,
2012-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.6,
2013-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.9,
2013-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.5,
2013-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.3,
2013-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.5,
2014-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.1,
2014-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.2,
2014-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.3,
2014-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.6,
2015-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.4,
2015-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.4,
2015-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.5,
2015-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.8,
2016-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.9,
2016-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.1,
2016-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.4,
2016-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.6,
2017-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.6,
2017-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.1,
2017-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.1,
2017-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.6,
2018-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.6,
2018-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.2,
2018-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.8,
2018-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.3,
2019-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.3,
2019-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.5,
2019-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.5,
2019-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.4,
2020-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.7,
2020-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.4,
2020-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.5,
2020-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.6,
2021-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.4,
2021-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.5,
2021-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.6,
2021-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.0,
2022-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.0,
2022-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.3,
2022-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.9,
2022-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.6,
