date,ebene1,ebene2,ebene3,bestand,fluss
2000-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,72.4,
2000-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,72.4,
2000-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,71.7,
2000-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,71.6,
2001-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,67.1,
2001-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,63.3,
2001-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,54.3,
2001-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,23.1,
2002-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,39.2,
2002-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,48.2,
2002-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,57.0,
2002-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,61.3,
2003-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,60.8,
2003-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,66.5,
2003-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,71.9,
2003-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,75.2,
2004-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,81.0,
2004-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,86.8,
2004-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,93.2,
2004-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,97.6,
2005-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,99.5,
2005-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,102.5,
2005-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,103.4,
2005-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,104.8,
2006-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,105.4,
2006-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,107.6,
2006-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,107.9,
2006-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,109.4,
2007-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,108.2,
2007-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,107.0,
2007-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,103.7,
2007-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,105.2,
2008-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,101.0,
2008-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,99.9,
2008-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,96.6,
2008-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,103.5,
2009-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,101.9,
2009-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,101.9,
2009-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,101.1,
2009-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,105.4,
2010-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,105.1,
2010-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,104.8,
2010-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,103.8,
2010-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,105.8,
2011-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,103.6,
2011-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,103.6,
2011-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,102.1,
2011-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,103.1,
2012-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,100.7,
2012-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,101.8,
2012-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,101.3,
2012-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,104.0,
2013-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,103.6,
2013-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,106.0,
2013-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,107.6,
2013-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,112.0,
2014-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,112.8,
2014-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,117.3,
2014-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,120.6,
2014-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,127.7,
2015-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,132.3,
2015-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,139.0,
2015-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,145.4,
2015-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,153.2,
2016-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,156.4,
2016-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,161.7,
2016-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,169.1,
2016-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,175.7,
2017-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,179.3,
2017-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,185.6,
2017-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,192.7,
2017-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,200.3,
2018-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,204.7,
2018-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,212.7,
2018-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,219.8,
2018-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,230.1,
2019-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,233.9,
2019-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,242.4,
2019-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,252.6,
2019-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,265.4,
2020-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,281.9,
2020-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,299.1,
2020-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,311.2,
2020-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,327.7,
2021-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,340.5,
2021-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,356.9,
2021-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,370.9,
2021-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,387.1,
2022-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,400.6,
2022-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,411.6,
2022-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,425.2,
2022-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,431.4,
2023-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,434.3,
2023-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,437.6,
2023-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,440.0,
2023-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,445.4,
2024-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,446.6,
2024-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,450.2,
