date,ebene1,ebene2,ebene3,bestand,fluss
2000-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-1.4
2000-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.1
2000-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.2
2000-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.9
2001-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-1.1
2001-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.1
2001-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.1
2001-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.1
2002-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.5
2002-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.8
2002-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.3
2002-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,1.5
2003-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-1.7
2003-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.2
2003-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.0
2003-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,1.3
2004-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-1.5
2004-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.2
2004-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.0
2004-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.7
2005-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.5
2005-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.0
2005-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.1
2005-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.5
2006-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.7
2006-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.2
2006-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.1
2006-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.7
2007-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-1.0
2007-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.2
2007-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.1
2007-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,1.1
2008-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-1.2
2008-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.1
2008-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.0
2008-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,1.3
2009-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-1.3
2009-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.4
2009-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.4
2009-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,1.1
2010-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.9
2010-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.1
2010-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.2
2010-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.6
2011-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.7
