date,ebene1,ebene2,ebene3,bestand,fluss
2000-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-2.1
2000-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.0
2000-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.7
2000-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.1
2001-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-4.5
2001-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-3.8
2001-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-8.9
2001-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-31.2
2002-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,16.1
2002-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,9.0
2002-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,8.8
2002-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,4.3
2003-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,8.1
2003-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,5.7
2003-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,5.4
2003-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,3.3
2004-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,5.8
2004-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,5.8
2004-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,6.4
2004-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,4.3
2005-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,1.9
2005-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,3.0
2005-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,1.0
2005-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,1.4
2006-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.6
2006-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,2.2
2006-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.3
2006-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,1.5
2007-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-1.1
2007-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-1.3
2007-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-3.3
2007-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,1.5
2008-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-4.2
2008-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-1.1
2008-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-3.3
2008-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,6.9
2009-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-1.5
2009-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.0
2009-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.7
2009-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,4.3
2010-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.3
2010-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.3
2010-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-1.0
2010-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,2.0
2011-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-2.2
2011-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.1
2011-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-1.6
2011-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,1.1
2012-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-2.4
2012-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,1.0
2012-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.5
2012-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,2.7
2013-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.4
2013-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,2.4
2013-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,1.5
2013-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,4.5
2014-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.8
2014-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,4.5
2014-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,3.3
2014-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,7.1
2015-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,4.6
2015-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,6.6
2015-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,6.4
