GKZ,name,fl_suv,indicator_code,indicator_name,indicator_desc
01001000,"Flensburg, Stadt",53.5,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
01002000,"Kiel, Landeshauptstadt",58.78,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
01003000,"Lübeck, Hansestadt",37.86,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
01004000,"Neumünster, Stadt",51.81,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
01051000,Dithmarschen,11.28,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
01053000,Herzogtum Lauenburg,12.01,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
01054000,Nordfriesland,11.04,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
01055000,Ostholstein,12.41,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
01056000,Pinneberg,22.03,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
01057000,Plön,9.99,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
01058000,Rendsburg-Eckernförde,11.51,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
01059000,Schleswig-Flensburg,11.18,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
01060000,Segeberg,13.99,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
01061000,Steinburg,11.46,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
01062000,Stormarn,18.31,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
02000000,"Hamburg, Freie und Hansestadt",58.47,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
03101000,"Braunschweig, Stadt",47.1,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
03102000,"Salzgitter, Stadt",28.59,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
03103000,"Wolfsburg, Stadt",31.8,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
03151000,Gifhorn,11.24,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
03153000,Goslar,11.14,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
03154000,Helmstedt,12.47,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
03155000,Northeim,11.64,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
03157000,Peine,18.25,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
03158000,Wolfenbüttel,12.12,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
03159000,Göttingen,13.8,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
03241000,Region Hannover,22.53,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
03251000,Diepholz,12.77,fl_suv,Anteil der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Jahr 2020 in %,
